title,vote_average,vote_count,release_date,runtime,adult,original_language,overview,popularity,tagline,genres,production_companies
10 Cloverfield Lane,6.981,7377,2016-03-10,104,False,en,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",27.817,Monsters come in many forms.,"Thriller, Science Fiction, Drama, Horror",Bad Robot
Pretty Woman,7.5,7371,1990-03-23,119,False,en,"When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.",42.75,"She walked off the street, into his life and stole his heart.","Comedy, Romance","Touchstone Pictures, Silver Screen Partners IV"
Assassin's Creed,5.419,7328,2016-12-21,116,False,en,"Through unlocked genetic memories that allow him to relive the adventures of his ancestor in 15th century Spain, Callum Lynch discovers he's a descendant of the secret 'Assassins' society. After gaining incredible knowledge and skills, he is now poised to take on the oppressive Knights Templar in the present day.",26.133,Your destiny is in your blood.,"Action, Adventure, Science Fiction","New Regency Pictures, The Kennedy/Marshall Company, Ubisoft Film & Television, DMC Film"
Focus,6.875,7321,2015-02-25,105,False,en,"Nicky, an accomplished con artist, gets romantically involved with his disciple Jess but later ends their relationship. Years later, she returns as a femme fatale to spoil his plans.",36.414,Never Drop The Con.,"Romance, Comedy, Crime","K & S Films, RatPac Entertainment, Zaftig Films, Warner Bros. Pictures, Di Novi Pictures"
Armageddon,6.829,7320,1998-07-01,151,False,en,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",36.635,The Earth's Darkest Day Will Be Man's Finest Hour,"Action, Thriller, Science Fiction, Adventure","Touchstone Pictures, Jerry Bruckheimer Films, Valhalla Motion Pictures"
Quantum of Solace,6.314,7317,2008-10-29,106,False,en,"Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",33.985,"For love, for hate, for justice, for revenge.","Adventure, Action, Thriller, Crime","Eon Productions, Metro-Goldwyn-Mayer, Columbia Pictures, B22"
The Little Mermaid,7.355,7316,1989-11-17,83,False,en,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,79.593,Somewhere under the sea and beyond your imagination is an adventure in fantasy.,"Animation, Family, Fantasy","Walt Disney Pictures, Silver Screen Partners IV, Walt Disney Feature Animation"
Tomb Raider,6.353,7316,2018-03-05,118,False,en,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared.",27.983,Her legend begins.,"Action, Adventure, Fantasy","SQUARE ENIX, GK Films, Metro-Goldwyn-Mayer, Warner Bros. Pictures"
King Kong,6.869,7297,2005-12-12,187,False,en,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",35.331,The eighth wonder of the world.,"Adventure, Drama, Action","Universal Pictures, WingNut Films, Big Primate Pictures, MFPV Film"
The Cabin in the Woods,6.608,7288,2012-04-12,95,False,en,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",38.675,You think you know the story.,"Horror, Fantasy","Lionsgate, Mutant Enemy Productions"
Fargo,7.867,7282,1996-03-08,98,False,en,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",22.433,A lot can happen in the middle of nowhere.,"Crime, Drama, Thriller","PolyGram Filmed Entertainment, Working Title Films"
